10,"Representative, Billing","
Locations:
Pune, India
","Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred. Qualifications Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Customer/Client Service Internal Jobcode: 70414 Organization: Derivatives MO & RBS-HR14453 Requisition Number: 1900991"
11,"Representative, Billing","
Locations:
Pune, India
","Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred. Qualifications Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Customer/Client Service Internal Jobcode: 70414 Organization: Derivatives MO & RBS-HR14453 Requisition Number: 1900990"
12,"Analyst,Client Processing","
Locations:
Pittsburgh, Pennsylvania
","Performs routine and non-routine client service and KYC(Know your customer) support functions. Interacts with internal organizational units/teams and external clients to ensure timely/efficient onboarding reviews. Processes KYC related requests by following established procedures, answers inquiries, and resolves problems or issues. Manages situations that may require adaptation of response or extensive research according to client response. Escalates more complex situations to senior colleagues/management. Integrates area knowledge with understanding of industry standards and practices to provide solutions to internal and external clients. Performs complex operational tasks. May be responsible for allocating and checking work of team members. May be responsible for specific supervisory review and approval actions. Contributes to the achievement of team objectives and may be assigned different projects regarding client experience, innovation, AML, sanctions, reporting, among others. Qualifications  Bachelors degree or the equivalent combination of education and experience is required. 0-3 years of total work experience is preferred. Experience in brokerage processing is preferred. Applicable local/regional licenses or certifications as required by the business. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.BNY Mellon Treasury Services understands our clients face profound challenges as they move, access and apply their cash and associated business information on a global basis. Here's where BNY Mellon Treasury Services can help by blending our award-winning cash management and global payments services into customized solutions in three strategic areas: 
Supply chain management - Access a suite of receivables, payables and trade finance solutions that can help reduce costs, increase efficiency and strengthen control.
Client Access and Liquidity Services - Active and passive cash investment strategies combined with innovative transaction and reporting tools. 
Global Payments Services - High-quality, 24-hour processing and customer service for international payments, enabling our clients to make cross-border payments anytime, anywhere in more than 100 currencies.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70606 Job: Customer/Client Service Organization: Global Client Support-HR12364 Requisition Number: 1901444"
13,Client Service Analyst - Treasury Services,"
Locations:
Metro Manila, Philippines
","
Works with external clients to resolve day-to-day issues and direct them to appropriate resources 
Supports clients in addressing operational and technical Treasury Services questions or issues and ensuring requests are executed
Applies problem solving skills based on precedence and experience
Uses communication skills to deliver high quality service to a specialized client base. 
Provides clients information related to BNY Mellon products and services representing a limited number of lines of business and geographies and directs them to the appropriate resources, as needed
Leverages a general understanding of broader BNY Mellon services and offerings.
Monitors client inquiries and escalates non-routine or complex issues to the appropriate team member, as needed
Tracks information related to general client issues and needs to support business development efforts
Participates in internal activities and initiatives designed to improve the client experience
Maintain strong operational relationships with our clients (mainly banks and financial institutions) and assist in managing Treasury Services' client relationships;
Provide product training, organize client seminars and assist clients with operational implementations and service issues as and when required. Qualifications 
Bachelor’s Degree with at least 4 - 5 years banking experience, preferably within client services;
Knowledge of international payment and trade services will be an advantage;
Ability to learn new products and understand products/clients issues comprehensively;
Strong client orientation and teamwork spirit;
Proactive & keen work attitude;
Excellent interpersonal & communication skills;
Excellent analytical and problem solving skills;
Incumbent will be required to support clients for our Filipino business.
Good command of Tagalog & English language, both oral and written, is essential.
  BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Philippines-Metro Manila-Metro Manila Job: Customer/Client Service Internal Jobcode: 70106 Organization: Global Client Support-HR12364 Requisition Number: 1901342"
14,"Representative, Billing","
Locations:
Pune, India
","Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred. Qualifications Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Customer/Client Service Internal Jobcode: 70414 Organization: Derivatives MO & RBS-HR14453 Requisition Number: 1900819"
15,"Representative, Billing","
Locations:
Pune, India
","Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred. Qualifications Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Customer/Client Service Internal Jobcode: 70414 Organization: Derivatives MO & RBS-HR14453 Requisition Number: 1900818"
16,"Inter. Rep, Middle Office","
Locations:
Everett, Massachusetts
","Middle Office - S2 Under minimal supervision, provides accounting and trading support activities for funds of moderate complexity. Performs reviews of moderately complex documents processed from across the Bank to confirm compliance with established processes and procedures. Under minimal supervision, performs moderately complex functions supporting accounting, trading and client services activities including book-keeping and data review. Reviews moderate volume of documents to ensure processors followed established procedures and took on minimal risk. Leverages some knowledge of processes of procedures to confirm findings. Tracks fund data and trades. Maintains records of moderate complexity in accordance with department policies and procedures. Provides requested data to team members. Searches for fail points in processes and drafts error reports to be provided to clients. Has some knowledge of compliance rules and service level agreements. Escalates external errors. Correction of internal errors is at the discretion of the client. Uses some knowledge of what constitutes an exception to review and identify exceptions in documentation. Confirms findings with more senior team members. If exceptions are found, checks against review guidelines to see if internal and client procedures were followed. Prepares system-generated reports or templates and conducts general data validation and reconciliation. Reviews work of junior team members. No direct reports. Provides guidance to less experienced Middle Office support staff, as needed. Responsible for the quality and completion of own work. Qualifications  High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree a plus, mutual fund industry background preferred. 1-2 years of total work experience preferred. Experience in accounting support or the mutual fund industry preferred.  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Massachusetts-Everett Internal Jobcode: 70551 Job: Customer/Client Service Organization: Total AMO Ops-HR17124 Requisition Number: 1900208"
17,"Analyst,Client Processing","
Locations:
Pittsburgh, Pennsylvania
","Performs routine and non-routine client service and KYC(Know your customer) support functions. Interacts with internal organizational units/teams and external clients to ensure timely/efficient onboarding reviews. Processes KYC related requests by following established procedures, answers inquiries, and resolves problems or issues. Manages situations that may require adaptation of response or extensive research according to client response. Escalates more complex situations to senior colleagues/management. Integrates area knowledge with understanding of industry standards and practices to provide solutions to internal and external clients. Performs complex operational tasks. May be responsible for allocating and checking work of team members. May be responsible for specific supervisory review and approval actions. Contributes to the achievement of team objectives and may be assigned different projects regarding client experience, innovation, AML, sanctions, reporting, among others. Qualifications Bachelors degree or the equivalent combination of education and experience is required. 0-3 years of total work experience is preferred. Experience in brokerage processing is preferred. Applicable local/regional licenses or certifications as required by the business BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70606 Job: Customer/Client Service Organization: Global Client Support-HR12364 Requisition Number: 1901042"
18,"Manager, Client Processing - AML Transfer Agency","
Locations:
Dublin, Ireland
","
Specialist (Team Manager) -Anti-Money Laundering - Grade J (Vice President)
The Specialist is responsible for the day to day management of the AML team providing Transfer Agency Service to a set of Hedge Fund and Private Equity clients.
This mainly includes responsibility for ensuring that prospective and existing investors comply with the Irish Anti-Money Laundering Laws and Regulations during the processing of investor-related transactions.
The successful candidate will be a leader and motivator and should promote excellent client service standards, a customer focused ethos and advocate best practice at all times within the group.
 
Reporting Line:Reports into the AIS TA Senior Manager (K)
Principal Responsibilities:
Responsible for the setting and achievement of specific Team performance targets and objectives for team members.
Oversight of the Transfer Agency AML team, managing key priorities on a daily basis, planning team work, managing team resources including recruitment of new staff.
Building and maintaining client relationships through regular meetings, forums, ensuring effective communication and client satisfaction.
Perform AML/KYC due diligence on a range of institutional clients types with different legal structures, in all jurisdictions, to support businesses across various product groups including Real Estate Private Equity Funds.
 
  Qualifications Experience:
College Degree preferred. Minimum of 5 years experience in financial services including 3 years experience in Investor/Transfer Agency Services.
Demonstrated experience as a successful Manager.
Familiar with the Irish AML/KYC Laws and Regulations.
In-depth understanding of typical legal structures including hedge funds, special purpose vehicles, partnerships, trusts and charities.
Familiarity with public sources of information across most jurisdictions (stock exchanges, regulators, company registers).
Understanding of core Irish regulatory framework including requirements around accepting customers.
Proficient in Microsoft Office applications in particular Excel.
Experience in working to tight deadlines, with an ability to multi task and to work calmly under pressure.
The role will require engagement with a broad cross section of the business and the broader BNY Mellon organization. External engagement with clients & prospects in support of service delivery.
Must foster an environment of teamwork and collaboration across all areas of the business and with shared services partners BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Ireland-Dublin-Dublin Job: Customer/Client Service Internal Jobcode: 70602 Organization: AIS Operations-HR08997 Requisition Number: 1818465"
19,Summer Analyst Program 2019 - Client Service Delivery,"
Multiple Locations:
Manchester, United Kingdom; London, United Kingdom
","Summer
Analyst ProgramBNY Mellon’s Summer Analyst Program (SAP) provides
high-potential students with a well-rounded, rewarding internship experience as
well as an inside look into what it’s like to work for a global financial
services organization that has been innovating and serving clients since
1784. With projects specifically chosen
to both challenge and develop SAP participants, our summer analysts will gain
valuable real-world experiences working in their respective line of
business/function as well as learn to work together in collaborative teams. From day one, summer analysts are immersed in BNY Mellon’s
innovative and dynamic company culture as they will receive:  
meaningful and
     challenging work assignments;
networking
     opportunities with peers, senior leaders and executives;
exposure to
     different areas of business;
comprehensive
     professional etiquette and financial services fundamentals training; and
understanding
     of BNY Mellon’s commitment to diversity and inclusion.
 Program At
A Glance:
9-week (EMEA)
     or 10-week (U.S.) summer internship assignment within an identified line
     of business or division of BNY Mellon* that combines learning with skill
     development through practical work and projects;
 
two-day
     in-person orientation/onboarding and virtual training curriculum; plus
 
career
     development and networking support from a host of corporate leaders
     including rotation assignment managers, senior mentors, peer mentors,
     business stakeholders and a dedicated program manager.
 *Lines of businesses that previously
hosted summer analysts include Investment Management, Wealth Management,
Technology, Asset Servicing, Pershing, Client Service Delivery, Markets, Global
Client Management, Audit, Finance, HR, Risk & Compliance, Depositary
Receipts and Treasury Services.  Potential
Program Locations:· US: Pittsburgh, PA *New York, NY * Jersey City, NJ * Boston, MA * Lake
Mary, FL· EMEA: London and Manchester (UK), Dublin (Ireland), Wroclaw (Poland)  Program
Highlights:
Small,
     selective program size that allows for more personal attention and
     support;
Participants
     can further develop their technical and business acumen skills/expertise,
     enhance leadership abilities and build networks across the organization;
Robust
     onboarding and training curriculum designed specifically for summer
     analysts;
Full
     commitment from top-level management to make our program the premier
     internship/talent pipeline program within the financial services industry;
Opportunity to
     apply for one of our full-time pipeline leadership programs, including the
     Emerging Leaders Program (ELP) and Technology Leadership Program (TLP).
 Post-SAP
Opportunities:
SAP aims to create a pipeline of talent to feed entry-level pipeline
program and entry-level full-time position hiring needs. Upon successful
completion of the program as well as overall performance and business need,
there are potential full-time employment opportunities that our summer analysts
may apply for, including the Emerging Leaders Program (ELP), Technology
Leadership Program (TLP) and full-time direct hire roles.
 Qualifications Program
Eligibility/Qualifications:
  · Enrollment in a 4-year
undergraduate (U.S.) or full-time undergraduate (UK) degree program with a
strong focus on business-related and/or technology-related majors;    Rising senior (U.S.) or
penultimate year students (UK) during summer 2019;    Minimum cumulative GPA of 3.2
or better (U.S.) or 2:1 (UK);    Well-rounded and balanced
background including demonstrated leadership abilities;    Strong written and oral
communication skills;    Not require sponsorship for employment visa
     status (now or in the future) in the region where they apply.
 
Please note: all technology
SAP candidates must also obtain a passing score on BNY Mellon’s Hacker Rank
coding challenge. 
 Role Specific: The successful candidate should be detail oriented with considerable knowledge and understanding of what factors might influence the market, evaluate the relevance of data and being able to identify relevant data resources: 
  
Essential requirements include: 
   
 -          Excellent project management skills  
 -          The candidate must be able to gather inputs (both statistical and client behavioural), interpret and analyze data and articulate these to Market Management team. 
 -          Fluency in one or several major European languages would be helpful but not essential.  BNY Mellon is a global investments company dedicated to helping its clients manage and service their financial assets throughout the investment lifecycle. Whether providing financial services for institutions, corporations or individual investors, BNY Mellon delivers informed investment management and investment services in 35 countries and more than 100 markets. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments. Additional information is available at www.bnymellon.com.BNY Mellon Treasury Services understands the profound and ever changing challenges our clients face as they seek to move, access, and apply their cash and associated business information on a global basis.  By applying our global payments, supply chain management and client access and liquidity solutions, we aim to help more clients optimize global liquidity and make sound business decisions by:

-Initiating and collecting payments with an eye toward cost control, increased efficiency, access to business information and risk mitigation.
-Applying active and passive cash investment strategies and innovative transaction and reporting tools in ways that best support their business needs.
-Processing international payments, 24/7, anywhere and in more than 100 currencies with an emphasis on excellent client service and quality.

Our focus on product leadership and client intimacy lay the groundwork for continued innovation, enduring relationships and customer satisfaction.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater Manchester-Manchester Job: Customer/Client Service Internal Jobcode: 52255 Organization: Securities Service Delivery-HR06423 Requisition Number: 1814592"
20,"Specialist, Account Management","
Locations:
Jersey City, New Jersey
","Account Management - IC4 Oversees assigned client accounts, ensuring satisfaction, swift response to client needs, efficient problem resolution, contract and operational compliance, risk mitigation and KYC responsibilities. Consults with clients on best practices, solutions and regulatory changes to support client engagement. Assigned large, complex accounts. Incumbents have a fully-developed, broad knowledge base of Account Management and the firms products/services and are often developing depth of expertise in a specialty or niche product or a certain type of client. Incumbent may provide guidance to more junior Account Managers. Proactively consults large, complex client accounts, ensuring continued client satisfaction and listening for cues on client needs. Advises on best practices, organizational solutions and regulatory changes. Manages client projects across multiple business lines throughout the firm. Tracks and reports on client metrics. Contributes to the identification and development of appropriate metrics. Acts as day-to-day point of contact for the client and responds to queries. Collaborates with Relationship Management function to enhance the account strategy. Keeps abreast of client account activity occurring throughout the firm. Liaises with relevant operations contacts (internally and externally) to coordinate service to the client. Escalates relevant issues to management. Ensure client satisfaction. Directly manages client inquiries and facilitates resolution of problems within scope of knowledge. Researches and analyzes the business environment of assigned clients, industry trends and competitor services/offerings. Contributes to the development of strategies/approaches of the Account Management function. Mentors less experienced Account Managers. May have people management responsibilities in some geographies. Provides guidance to less experienced Account Managers as needed. Responsibilities are primarily limited to own client accounts, however will contribute to the achievement of any team or area objectives. Focus is on large and/or complex accounts.   Qualifications Bachelors degree or the equivalent combination of education and experience is required. 7-10 years of total work experience preferred. Experience in Account Management or Client Service Delivery preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New Jersey-Jersey City Internal Jobcode: 70004 Job: Customer/Client Service Organization: Pershing Domestic-HR06431 Requisition Number: 1900090"
21,"Specialist, Account Management","
Locations:
Jersey City, New Jersey
","Account Management - IC4 Oversees assigned client accounts, ensuring satisfaction, swift response to client needs, efficient problem resolution, contract and operational compliance, risk mitigation and KYC responsibilities. Consults with clients on best practices, solutions and regulatory changes to support client engagement. Assigned large, complex accounts. Incumbents have a fully-developed, broad knowledge base of Account Management and the firms products/services and are often developing depth of expertise in a specialty or niche product or a certain type of client. Incumbent may provide guidance to more junior Account Managers. Proactively consults large, complex client accounts, ensuring continued client satisfaction and listening for cues on client needs. Advises on best practices, organizational solutions and regulatory changes. Manages client projects across multiple business lines throughout the firm. Tracks and reports on client metrics. Contributes to the identification and development of appropriate metrics. Acts as day-to-day point of contact for the client and responds to queries. Collaborates with Relationship Management function to enhance the account strategy. Keeps abreast of client account activity occurring throughout the firm. Liaises with relevant operations contacts (internally and externally) to coordinate service to the client. Escalates relevant issues to management. Ensure client satisfaction. Directly manages client inquiries and facilitates resolution of problems within scope of knowledge. Researches and analyzes the business environment of assigned clients, industry trends and competitor services/offerings. Contributes to the development of strategies/approaches of the Account Management function. Mentors less experienced Account Managers. May have people management responsibilities in some geographies. Provides guidance to less experienced Account Managers as needed. Responsibilities are primarily limited to own client accounts, however will contribute to the achievement of any team or area objectives. Focus is on large and/or complex accounts.   Qualifications Bachelors degree or the equivalent combination of education and experience is required. 7-10 years of total work experience preferred. Experience in Account Management or Client Service Delivery preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New Jersey-Jersey City Internal Jobcode: 70004 Job: Customer/Client Service Organization: Pershing Domestic-HR06431 Requisition Number: 1900484"
22,"Analyst, Client Service","
Locations:
Liverpool, United Kingdom
","Duties:
 

Works with external clients to resolve day-to-day issues and direct them to appropriate resources at BNY Mellon. 
Supports clients in addressing operational and technical questions or issues and ensuring requests are executed. 
Applies problem solving skills based on precedence and experience. 
Uses communication skills to deliver high quality service to a specialized client base. 
Provides clients information related to BNY Mellon products and services representing a limited number of lines of business and geographies and directs them to the appropriate resources, as needed. 
Leverages a general understanding of broader BNY Mellon services and offerings. 
Monitors client inquiries and escalates non-routine or complex issues to the appropriate team member, as needed. 
Tracks information related to general client issues and needs to support business development efforts. 
Participates in internal activities and initiatives designed to improve the client experience. 
No direct reports. 
Supports a selected number of client accounts of limited complexity. 
  Qualifications Requirements:

Bachelors degree or the equivalent combination of education and experience is required. 
0-3 years of total work experience preferred. 
Experience in an operational area and/or client services preferred. BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Merseyside-Liverpool Job: Customer/Client Service Internal Jobcode: 70106 Organization: Pershing International-HR16947 Requisition Number: 1819322"
23,"Analyst, Client Service","
Locations:
Singapore, Singapore
","
Works with external clients to resolve day-to-day issues and direct them to appropriate resources 
Supports clients in addressing operational and technical Treasury Services questions or issues and ensuring requests are executed
Applies problem solving skills based on precedence and experience
Uses communication skills to deliver high quality service to a specialized client base. 
Provides clients information related to BNY Mellon products and services representing a limited number of lines of business and geographies and directs them to the appropriate resources, as needed
Leverages a general understanding of broader BNY Mellon services and offerings.
Monitors client inquiries and escalates non-routine or complex issues to the appropriate team member, as needed
Tracks information related to general client issues and needs to support business development efforts
Participates in internal activities and initiatives designed to improve the client experience
Maintain strong operational relationships with our clients (mainly banks and financial institutions) and assist in managing Treasury Services' client relationships;
Provide product training, organize client seminars and assist clients with operational implementations and service issues as and when required. Qualifications 
Bachelor’s Degree with at least 4 - 5 years banking experience, preferably within client services;
Knowledge of international payment and trade services will be an advantage;
Ability to learn new products and understand products/clients issues comprehensively;
Strong client orientation and teamwork spirit;
Proactive & keen work attitude;
Excellent interpersonal & communication skills;
Excellent analytical and problem solving skills;
Incumbent will be required to support clients for our Vietnam business. Good command of Viet language, both oral and written, is essential.
Travelling to Vietnam is required BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Singapore-Singapore-Singapore Job: Customer/Client Service Internal Jobcode: 70106 Organization: Global Client Support-HR12364 Requisition Number: 1900180"
