10,"Specialist, Business Planning and Analysis","
Locations:
Liverpool, United Kingdom
","Pershing provides a broad range of financial business solutions to investment banks, broker-dealers, wealth managers, financial planners and advisers across EMEA. We provide sophisticated front-end technology and flexible middle office capabilities with execution, settlement and custody services. These are supported by a robust regulatory and compliance framework with dedicated client asset experience and expertise.
 
Pershing EMEA is recruiting an RFP Coordinator (Specialist, Business Planning and Analysis) responsible for coordinating Pershing’s responses to Requests for Information (RFIs), Request for Proposals (RFPs) and support the Client Group with the DDQs. 
 
The RFP Coordinator will work closely with the Head of Marketing and Proposition and the Deal Team to ensure all proposals or responses (RFP, RFI, DDQ) for Pershing are executed to align with corporate standards, business standards, and on time. This includes leading the creation, modification and maintenance of content, which will require collaboration between numerous groups and achieving proper signoff. 
In addition, they drive process improvement by selecting, developing, and evaluating content to ensure the efficient delivery of client responses. Individual is ultimately responsible for the delivery of formal responses to our clients.
 


 Guides and mentors Proposal Managers, teaching them good proposal management techniques and ensuring they adhere to processes and procedures. .  

 Leads individual proposal response teams in collaboration with internal stakeholders such as sales, product, legal, marketing and communications to respond to customer responses, proposals, questionnaires and presentations.  

 Ensures that responses are accurate, comply with high company standards and are completed by the assigned deadlines.  

 Manages and ensures overall communication and approvals for responses which represent our entire organisation.  

 Manages processes, policies and procedures to drive improvement in tools and content.  

 Improves common content by finding gaps in current material and soliciting new material.  
 
The successful candidate should demonstrate a history of creating and running an RFP process:


 Set the standards for how RFP/RFI/DD process should run.   

 Ensure standards are adhered to.  Develop and maintain a set of KPI’s and report against these.  

 Create run & maintain the RFP/RFI/DD processes including resource allocation, prioritisation and content management 

 Be a centre of excellence for RFP/ RFI/ DD, provide coaching & guidance to the wider deal community.   
  Qualifications Requirements:


 Bachelor’s degree or equivalent 

 At least 5 years’ experience managing RFPs in Financial Services 

 Excellent oral and written communication skills 

 Exceptional organisational skills 

 Demonstrated ability to handle multiple priorities at one time 

 Ability to build a common set of practices, principles and templates for RFP.  

 Use a variety of techniques to facilitate improvements to the RFP process and content, including guidance, individual coaching and team based training sessions.   

 Ability to multi-task, working alone, and as part of a team. 

 Project Management experience desirable  BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Merseyside-Liverpool Job: Sales/Marketing Internal Jobcode: 70158 Organization: Pershing International-HR16947 Requisition Number: 1817968"
11,"Senior Specialist, Proposal Development","
Locations:
Liverpool, United Kingdom
","Pershing provides a broad range of financial business solutions to investment banks, broker-dealers, wealth managers, financial planners and advisers across EMEA. We provide sophisticated front-end technology and flexible middle office capabilities with execution, settlement and custody services. These are supported by a robust regulatory and compliance framework with dedicated client asset experience and expertise.
 
Pershing EMEA is recruiting a Proposal Editor (Senior Specialist, Proposal Development) responsible for leading activities related to proposal development (RFPs, RFIs and DDQs). This includes leading the creation, modification and maintenance of content, which will require collaboration between numerous groups and achieving proper signoff. In addition, they drive process improvement by selecting, developing, and evaluating content to ensure the efficient delivery of client responses.
 


 Participate in proposal strategy, design, writing, and review sessions with the Deal Team and SMEs throughout the life of the proposal 

 Writes and edits proposal for readability, consistency and appropriate tone describing company capabilities, management approach 

 Collaborates with SMEs developing and writing technical and management content for responses, which are compliant with the proposal requests; 

 Work with subject matter experts to prepare material for pitches, including interviewing experts and/or reviewing and revising text prepared by experts 

 Review proposal pieces and final text for clarity, consistency, and responsiveness to RFP requirements, in preparation for reviews and final production 

 Support non-proposal writing/editing tasks (including reports, corporate capability pieces, success stories, opinion papers and other external materials required). 

 Develops approach to proposal response and performs key activities such as drafting of proposals and research. Takes lead on the largest, most complex proposals, that are critical to the organization and responsible for reviewing and even owning responses to RFPs submitted by clients that are considered top priority. 

 Conducts legal/business reviews for all potential projects. Contributes to final ""go/no-go"" deliberation. 

 Coordinates with internal business units to research and gather information necessary to prepare a responsive submission to the RFP. Anticipates and resolves any compliance, legal or regulatory review required for response. 

 Develops and refines proposal processes and proposal library content. 

 Works directly with the client or with the business development or relationship management team to clarify proposal requirements. 
  Qualifications Requirements:


 Bachelor’s degree or equivalent 

 7-10 years of total work experience preferred; experience in proposal development preferred.            

 Excellent oral and written communication skills 

 Exceptional organisational skills 

 Demonstrated ability to handle multiple priorities at one time 

 Ability to multi-task, working alone, and as part of a team. 

 Ability to coach sales teams and subject matter experts in writing best practice  BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Merseyside-Liverpool Job: Sales/Marketing Internal Jobcode: 70050 Organization: Pershing International-HR16947 Requisition Number: 1817969"
12,"Mgr, Mktg and Comm (Marketing, Financial Services)","
Locations:
Jersey City, New Jersey
","
In this role, you will leverage your experience in sales and relationship management within the Wirehouse/Custodial platform channels or Financial Services industry to further Marketing initiatives.  You will also use your seasoned project management skills and ability to deliver results through efficiency and ownership, as well as your knowledge of investments products, intermediary distribution, and experience in revenue management.
 Implements marketing and communication projects in support of key in support of the firm's key strategic initiatives and business goals in addition to day-to-day support of brand awareness, client acquisition, client and employee engagement. Strong writing and communications skills. Cultivates collaborative relationships with internal and external resources to support activities. Provides technical guidance, as needed. Contributes the development and implementation of annual marketing and communication and results measurement. Establishes good working relationships with internal teams. Collaborates with business partners to help formulate decision criteria. Keeps abreast of industry/segment trends, market climates and competitive activities, to recommend ways to leverage opportunities among colleagues. Adheres to policies and procedures and is familiar with company practices. May lead special projects/ initiatives for the function or business unit. Acts with a clear sense of accountability supporting functional or business initiatives. Proactively identifies obstacles and recommends solutions. Manages multiple teams, including coaching, performance management and resource allocation. Fosters open and collaboration across teams. Models and champions firms values such diversity, teamwork, client focus, integrity and excellence. Manages to approved budget, submits expenses.  Qualifications Bachelor's degree or the equivalent combination of work experience required 5-8 years of related experience preferred; experience in the securities or financial services industry is preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New Jersey-Jersey City Internal Jobcode: 09702 Job: Sales/Marketing Organization: Pershing Domestic-HR06431 Requisition Number: 1819124"
13,"Sr Principal, Bus. Development/Large Corporate and Not for Profit Treasury Services","
Multiple Locations:
New York, New York; Pittsburgh, Pennsylvania; Everett, Massachusetts
"," 
This is a Director level position as a senior relationship manager on a Large Corporate and Not for Profit team within BNY Mellon’s Treasury Services Group. Exposure to or experience with Health Systems and Healthcare Insurance companies is preferred. 
The objective of the team is to grow our business through new client acquisition and by enhancing the client experience. The role will also include coaching and developmental guidance to others on the team. Business Development -  Independently evaluates and pursues new business opportunities and client prospects within a Segment, focusing on responsible business growth that is compliant, of acceptable risk and profitable. Serves in a consultative role to the prospects, advising top leadership on the best way to achieve their short- and long- term strategic objectives through the firms solutions. Prospects pursued are key to the unit achieving its goals and objectives. Prospects are significantly large and complex institutions, requiring depth of knowledge in a niche segment or significant breadth of knowledge across numerous products/services. Prospect needs are often enterprise-wide and may involve a multi-year or long-term pursuit approach. May also pursue advantageous strategic partnerships with third parties in order to better respond to prospects needs. If necessary, leads team implementation of firm-wide initiatives. For some areas of the Bank, may be responsible for achieving organic incremental growth from existing clients. Locates potential prospects through in-depth industry research and an understanding of the market environment, including short- and long-term trends, competitor offerings, regulatory developments etc. Incumbents are highly experienced in independently developing leads and initiating contact with prospects. Prospect contacts are almost exclusively the most senior leadership within an organization (i.e., C-suite). Screens and evaluates prospects by analyzing market strategies, deal requirements, growth potential, financials, and internal firm priorities. Contributes to the development of business unit prospect strategy. Identify, co-ordinate and participate in opportunities for enhancing the Company s visibility. Work with the appropriate functions to develop and market new products, services, solutions and thought leadership concepts. Consults with prospects on their strategic vision and uses an in-depth understanding of the firms solutions and value proposition to help achieve that vision. May offer customized product offerings. Develops a negotiation strategy and position to align prospect needs to firm offerings. Contributes to and advises on negotiation strategy for the business unit. Closes new prospects by structuring deals (pricing, contract terms, etc.) that achieve optimal terms for both the client and the firm. Ensures deals are compliant with all regulations. Deals may involve significant risk to the organization. Marshals firm-wide resources (marketing, legal, compliance, etc.) to ensure the most appropriate response to prospect proposals and deal structure. Work closely with related teams (RMs, AMs, CSD) and other firm-wide resources (marketing, legal, compliance, etc.) to ensure all risk management/compliance activities relevant to business development activities are conducted and captured. Tracks and reports on business development results for assigned area (geographic, business/industry category, product category, etc.) Builds reports for use by senior leaders that identifies trends, opportunities, potential areas of concern, etc. Provide input to leaders for addressing identified issues. No direct reports. Provides guidance to less experienced Business Development roles as needed or may provide direct supervision to a small team. May enlist and lead other Business Development colleagues in pursuing very large, complex opportunities. Responsible for business development within a large and/or complex area, often requiring breadth of knowledge across geographic, product or industry categories and segments. Typically pursues large, complex prospects requiring multi-year, long-term pursuit processes. Deals are critical to the achievement of unit goals and objectives. For some areas of the Bank, may be responsible for achieving organic incremental growth from existing clients.  Qualifications  
 Bachelors’ degree or the equivalent combination of education and experience is required. Advanced/graduate degree preferred. Candidates to have 10-12 years of total work experience with a proven track record in Financial Services Business Development and Relationship Management. Candidates with prior positions in a similar customer facing role such as Global Capital Markets or with Product Management experience will also be considered. Applicable local/regional licenses or certifications as required by the business. A good understanding of the relevant marketplace, competitive landscape and industry drivers in the relevant region is preferred. As global firm, bi-lingual capabilities are helpful as is an understanding of local/cultural nuances important for client trust.
 
  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 70020 Job: Sales/Marketing Organization: TS Sales-HR07024 Requisition Number: 1901010"
14,"Sr Principal, Bus. Development Treasury Services Corporate, Government & Not-for-Profit (CGNP) segment in North America.","
Multiple Locations:
New York, New York; Everett, Massachusetts; Pittsburgh, Pennsylvania
","Business Development -
This is a director-level position on the large corporate sales & relationship management team, which operates as one of the sub-segments within the Treasury Services Corporate, Government & Not-for-Profit (CGNP) segment in North America. The main focus for this position will be two-fold: first, to drive fee revenue and net interest revenue growth across a large, diverse portfolio of large corporate clients and prospects in the Northeast region of the United States, characterized as being mostly public, investment-grade, Fortune 1000 or higher companies, with sales greater than $1 billion; and secondly, to work with a junior relationship representative also responsible for supporting the portfolio, providing coaching and developmental guidance to that individual. Jointly, operating in a ‘pod’ model, the senior-level position, along with the junior-level position, will be responsible for managing attrition, cross-selling new solutions to existing clients, and developing new relationships among targeted prospect companies within the defined portfolio.   Independently evaluates and pursues new business opportunities and client prospects within a Segment, focusing on responsible business growth that is compliant, of acceptable risk and profitable. Serves in a consultative role to the prospects, advising top leadership on the best way to achieve their short- and long- term strategic objectives through the firms solutions. Prospects pursued are key to the unit achieving its goals and objectives. Prospects are significantly large and complex institutions, requiring depth of knowledge in a niche segment or significant breadth of knowledge across numerous products/services. Prospect needs are often enterprise-wide and may involve a multi-year or long-term pursuit approach. May also pursue advantageous strategic partnerships with third parties in order to better respond to prospects needs. If necessary, leads team implementation of firm-wide initiatives. For some areas of the Bank, may be responsible for achieving organic incremental growth from existing clients. Locates potential prospects through in-depth industry research and an understanding of the market environment, including short- and long-term trends, competitor offerings, regulatory developments etc. Incumbents are highly experienced in independently developing leads and initiating contact with prospects. Prospect contacts are almost exclusively the most senior leadership within an organization (i.e., C-suite). Screens and evaluates prospects by analyzing market strategies, deal requirements, growth potential, financials, and internal firm priorities. Contributes to the development of business unit prospect strategy. Identify, co-ordinate and participate in opportunities for enhancing the Company s visibility. Work with the appropriate functions to develop and market new products, services, solutions and thought leadership concepts. Consults with prospects on their strategic vision and uses an in-depth understanding of the firms solutions and value proposition to help achieve that vision. May offer customized product offerings. Develops a negotiation strategy and position to align prospect needs to firm offerings. Contributes to and advises on negotiation strategy for the business unit. Closes new prospects by structuring deals (pricing, contract terms, etc.) that achieve optimal terms for both the client and the firm. Ensures deals are compliant with all regulations. Deals may involve significant risk to the organization. Marshals firm-wide resources (marketing, legal, compliance, etc.) to ensure the most appropriate response to prospect proposals and deal structure. Work closely with related teams (RMs, AMs, CSD) and other firm-wide resources (marketing, legal, compliance, etc.) to ensure all risk management/compliance activities relevant to business development activities are conducted and captured. Tracks and reports on business development results for assigned area (geographic, business/industry category, product category, etc.) Builds reports for use by senior leaders that identifies trends, opportunities, potential areas of concern, etc. Provide input to leaders for addressing identified issues. No direct reports. Provides guidance to less experienced Business Development roles as needed or may provide direct supervision to a small team. May enlist and lead other Business Development colleagues in pursuing very large, complex opportunities. Responsible for business development within a large and/or complex area, often requiring breadth of knowledge across geographic, product or industry categories and segments. Typically pursues large, complex prospects requiring multi-year, long-term pursuit processes. Deals are critical to the achievement of unit goals and objectives. For some areas of the Bank, may be responsible for achieving organic incremental growth from existing clients. Bachelors degree or the equivalent combination of education and experience is required. Advanced/graduate degree preferred. 10-12 years of total work experience preferred. Financial Services experience with a particular client type or product (Hedge, Pension, etc.) preferred as is prior experience in a related customer-facing role, Sales Support, Global Capital Markets or Product Management. Applicable local/regional licenses or certifications as required by the business. A good understanding of the relevant marketplace, competitive landscape and industry drivers in the relevant region is preferred. As global firm, bi-lingual capabilities are helpful as is an understanding of local/cultural nuances important for client trust. Qualifications Bachelors degree or the equivalent combination of education and experience is required. Advanced/graduate degree preferred. 10-12 years of total work experience preferred. Financial Services experience with a particular client type or product (Hedge, Pension, etc.) preferred as is prior experience in a related customer-facing role, Sales Support, Global Capital Markets or Product Management. Applicable local/regional licenses or certifications as required by the business.  A good understanding of the relevant marketplace, competitive landscape and industry drivers in the relevant region is preferred. As global firm, bi-lingual capabilities are helpful as is an understanding of local/cultural nuances important for client trust. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 70020 Job: Sales/Marketing Organization: TS Sales-HR07024 Requisition Number: 1819413"
15,"Analyst, Relationship Management Support","
Locations:
Hong Kong, Hong Kong
"," 
 The Treasury Services' Relationship Management & Business Development business unit combines advanced technology, innovative products and industry expertise to help our clients optimize cash flow, manage liquidity and mitigate risk while efficiently and cost effectively reaching their customers, vendors, employees and investors around the world.
 
Responsibilities:
  

Responsible for Treasury Services / Transaction Banking clients across Hong Kong and Macau
Conduct business development across new and potential clients
Assist with client assessments to determine requirements and proposal development, coordinating legal reviews as needed
Assist in supporting new business and ensure all client-related onboarding aspects are completed
Assist a more senior Relationship Manager on large or complex accounts to gain breadth/depth of knowledge
Conduct frequent and regular check-ins with assigned clients, ensuring their continued satisfaction and strategic alignment with firm services/product offerings
Continually evaluate client needs and ensure sustained client engagement
Develop, tracks and report on relationship strategy/results for assigned client portfolio
Work closely with business development teams to ensure relationship management strategy is executed by account management and client service teams
Responsible for understanding and working in accordance with local regulation Qualifications

Bachelors degree or the equivalent combination of education and experience in business management or related field is required
0-3 years of total work experience in sales preferred.
Proficiency in English, Mandarin and Cantonese is require BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Hong Kong-Hong Kong-Hong Kong Job: Sales/Marketing Internal Jobcode: 70040 Organization: TS Sales-HR07024 Requisition Number: 1810307"
16,"Specialist, Relationship Mgmt","
Locations:
Taipei, Taiwan
","
With guidance, develops the strategic plan for managing and growing existing client relationships, with a focus on revenue retention
Identifies opportunities for incremental account growth
Serves in a consultative role to the client, advising on the best way to achieve short- and long- term strategic objectives
From a global, bank-wide perspective, clients are usually well-established, relatively small, more locally-focused and less complex
May assist a more senior Relationship Manager on large or complex accounts to gain breadth/depth of knowledge
Is the clients advocate and may serve as the ultimate escalation point for client satisfaction.
Consult with clients on their strategic vision and how the firm can help them achieve that vision
Promote firm services/product offerings that solve client challenges and achieve account growth
Research client issues and bring to resolution
May be assigned as owner/expert of a particular process or product
Conduct frequent and regular check-ins with assigned clients, ensuring their continued satisfaction ensuring continued satisfaction and strategic alignment with firm services/product offerings
Continually evaluate client needs and ensure sustained client engagement
Develop, track and report on relationship strategy/results for assigned client portfolio
Work closely with business development teams to ensure relationship management strategy is executed by account management and client service teams
Keep abreast of client account activity occurring throughout the firm and may serve as the ultimate escalation point for client satisfaction
Conduct service review meetings and assist in client training, sharing of market information/experience
May assist with prospecting new clients in a similar industry or segment of existing clients
May work with other Relationship Managers and/or marshal firm-wide resources (marketing, legal, compliance, etc.) to ensure client needs are being addressed and to proactively inform clients of industry developments or firm thought leadership
Ensures client onboarding and/or risk management activities are conducted and captured (KYC, BAC, etc.)
In some regional/local markets may manage relationships with regulators directly
Research and analyze the business environment of assigned clients, industry trends and competitor services/offerings
In some regions, may have oversight over client services 
Responsible for achievement of organic, incremental growth (revenue, asset) goals within assigned client portfolio
Manages overall relationship profitability of small, non-complex clients
Continues to receive advice and coaching from senior team members/management Qualifications 
Bachelors degree or the equivalent combination of education and experience is required
Advanced/graduate degree preferred
3-5 years of total work experience preferred
Financial Services experience with a particular client type or product (Hedge, Pension, etc.) preferred as is prior experience in Relationship Management, Client Services or Account Management
Applicable local/regional licenses or certifications as required by the business
As global firm, bi-lingual capabilities are helpful as is an understanding of local/cultural nuances important for client trust. BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Taiwan-Taipei-Taipei Job: Sales/Marketing Internal Jobcode: 70060 Organization: TS Sales-HR07024 Requisition Number: 1900104"
17,"Specialist, Marketing","
Locations:
New York, New York
","
 BNY Mellon Investment Management is one of the world's leading investment management organizations and one of the top U.S. wealth managers. Our business encompasses BNY Mellon's affiliated investment management firms, wealth management organization, and global distribution companies.  Our goal is to build and deliver investment and wealth management strategies and solutions to meet our clients’ needs.  Drawing on deep expertise, we collaborate with our clients to tailor our best ideas and resources to meet their specific requirements. Through our global network we have developed a significant understanding of local requirements. We pride ourselves on providing dedicated service through our teams.  With extensive experience in anticipating and responding to the investment and financial needs of the world's governments, pension plan sponsors, corporations, foundations, endowments planned giving programs, advisors, intermediaries, individuals and families, and family offices, BNY Mellon Investment Management can help our clients reach their goals. 
   
 BNY Mellon is seeking a Content Marketing Specialist to implement content marketing projects in support of the firm's key strategic initiatives and business goals in addition to day-to-day support of brand awareness, client acquisition, and client engagement.  
   
 Responsibilities include: 
   

Applies strong writing and communications skills for multiple audiences and channels.
Cultivates collaborative relationships with internal and external resources to support activities. (i.e., wider internal marketing, investment boutiques, sales teams, client servicing, compliance, and external marketing agencies)  Provides technical guidance, as needed. 
Creates and embeds best practice for digital content; considers timelines, sign-off processes, and compliance procedures to ensure swift delivery.  Appreciation and competency with digital media is required.
Contributes to the development of a more data-informed method of content marketing by using a test and learn approach to improving messaging and targeting of messages to different client segments or personas 
Keeps abreast of industry/segment trends, market climates, and competitive activities, to recommend ways to leverage opportunities among colleagues. 
Adheres to policies and procedures and is familiar with company practices. May lead special projects/ initiatives for the function or business unit. 
Acts with a clear sense of accountability supporting functional or business initiatives. Proactively identifies obstacles and recommends solutions. 
Demonstrates exceptional organizational and follow-up skills with the ability to handle multiple deadlines and priorities simultaneously.
No direct reports, may provide guidance to less experienced staff or project leadership on a limited basis.  Qualifications 

 Bachelor's degree or the equivalent combination of education and work experience required. 5-7 years of related experience preferred; experience in the securities or financial services industry is preferred. 

#LI-HP1       
 BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 85403 Job: Sales/Marketing Organization: North America Distribution-HR11430 Requisition Number: 1818340"
18,"Sr Mgr, Mktg and Comm (Marketing, Depositary Receipts)","
Locations:
New York, New York
","Financial Marketing professional, preferably B2B, accustomed to developing and driving full international campaigns from start to finish, including excellent writing and proofreading skills used in close collaboration with sales/SMEs. Role requires enthusiasm and ambition to achieve the highest standard of marketing campaign elements in a fast-moving environment to drive business results.
 Implements complex marketing and communication plans in support of firm's key strategic initiatives and business goals in addition to day-to-day support of brand awareness, client acquisition and client and employee engagement. Has strong tactical marketing skills; may serve as a project lead, enlisting support from more junior staff or peers. Must have strong writing and communications skills. Cultivates collaborative relationships with internal and external resources to support activities. Contributes to the development and implementation of annual marketing and communication as well as results measurement. Establishes good working relationships with internal teams. Gains agreement with business partners and formulates decision criteria. Applies industry/segment trends, changes in the market environment and competitive activities knowledge to recommend ways to leverage opportunities among colleagues. Adheres to standard operating procedures. Suggests opportunities for improvements. Can take a creative idea, socialize it and put it into practice. Acts with a clear sense of accountability supporting functional or business initiatives. Proactively identifies obstacles and recommends solutions. Models and champions firm’s values such diversity, teamwork, client focus, integrity and excellence. Manages to approved budget, submits expenses.  Qualifications Bachelor's degree or the equivalent combination of work experience required. 12+ years of related experience preferred; experience in the securities or financial services industry is preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 09703 Job: Sales/Marketing Organization: IS Other New-HR17164 Requisition Number: 1819072"
19,"Mgr, Mktg and Comm (Marketer, Corporate Trust)","
Locations:
New York, New York
"," The successful Marketer in
this role will be responsible for maintaining and updating existing marketing
collateral and supporting the RM and Sales teams with marketing deliverables
associated with conferences and events. The CT Marketer would be supportive of
generalist marketing responsibilities including coordinating with the PR team
on press opportunities, updates to digital and other website content, and
updating executive biographies. It will be important for this person to stay abreast
of competitive messaging and other marketing activity. Draft and publish social
media posts associated with thought leadership, business participation at
conferences and community partnership events. Help to craft annual marketing
plans and processing invoices for payment.

    Implements marketing and communication projects in support of key in support of the firm's key strategic initiatives and business goals in addition to day-to-day support of brand awareness, client acquisition, client and employee engagement. Strong writing and communications skills. Cultivates collaborative relationships with internal and external resources to support activities. Provides technical guidance, as needed. Contributes the development and implementation of annual marketing and communication and results measurement. Establishes good working relationships with internal teams. Collaborates with business partners to help formulate decision criteria. Keeps abreast of industry/segment trends, market climates and competitive activities, to recommend ways to leverage opportunities among colleagues. Adheres to policies and procedures and is familiar with company practices. May lead special projects/ initiatives for the function or business unit. Acts with a clear sense of accountability supporting functional or business initiatives. Proactively identifies obstacles and recommends solutions. Manages multiple teams, including coaching, performance management and resource allocation. Fosters open and collaboration across teams. Models and champions firms values such diversity, teamwork, client focus, integrity and excellence. Manages to approved budget, submits expenses.   Qualifications Bachelor's degree or the equivalent 
combination of work experience required 5-8 years of related experience 
preferred; experience in the securities or financial services industry 
is preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 09702 Job: Sales/Marketing Organization: IS Other New-HR17164 Requisition Number: 1818885"
20,"Principal, Business Development","
Locations:
Tokyo, Japan
","Business Development - IC4 Independently evaluates and pursues new business opportunities and client prospects, focusing on responsible business growth that is compliant, of acceptable risk and profitable. Serves in a consultative role to prospects, advising top leadership on the best way to achieve their short- and long- term strategic objectives through the firms solutions. Pursues small to moderate emerging institutional prospects with high-growth potential, increased complexity of strategic needs and a longer pursuit process. May also pursue advantageous strategic partnerships with third parties in order to better respond to prospects needs. For some areas of the Bank, may be responsible for achieving organic incremental growth from existing clients. Locates potential prospects through in-depth industry research and an understanding of the market environment, including short- and long-term trends, competitor offerings, regulatory developments etc. Incumbents are highly experienced in independently developing leads and initiating contact with prospects. Prospect contacts are usually institutional leadership. Screens and evaluates prospects by analyzing market strategies, deal requirements, growth potential, financials and internal firm priorities. Assists lower level peers with complex analyses when needed. Consults with prospects on their strategic vision and uses an in-depth understanding of the firms solutions and value proposition to help achieve that vision. May offer customized product offerings. Develops a negotiation strategy and position to align prospect needs to firm offerings. Closes new prospects by structuring deals (pricing, contract terms, etc.) that achieve optimal terms for both the client and the firm. Ensures deals are compliant with all regulations. Marshals firm-wide resources (marketing, legal, compliance, etc.) to ensure the most appropriate response to prospect proposals and deal structure. Work closely with related teams (RMs, AMs, CSD) and other firm-wide resources (marketing, legal, compliance, etc.) to ensure all risk management/compliance activities relevant to business development activities are conducted and captured. Tracks and reports on business development results for assigned area (geographic, business/industry category, product category, etc.) Builds reports for use by senior leaders that identifies trends, opportunities, potential areas of concern, etc. May have people management responsibilities in some geographies. Provides guidance to less experienced Business Development roles as needed. Responsible for business development within assigned area (geographic territory, product category, business/industry category/segment, etc.). Typically pursues emerging, moderately-sized prospects with increasingly complex needs. For some areas of the Bank, may be responsible for achieving organic incremental growth from existing clients. Bachelors degree or the equivalent combination of education and experience is required. Advanced/graduate degree preferred. 7-10 years of total work experience preferred. Financial Services experience with a particular client type or product (Hedge, Pension, etc.) preferred as is prior experience in a related customer-facing role, Sales Support, Global Capital Markets or Product Management. Applicable local/regional licenses or certifications as required by the business. A good understanding of the relevant marketplace, competitive landscape and industry drivers in the relevant region is preferred. As global firm, bi-lingual capabilities are helpful as is an understanding of local/cultural nuances important for client trust. Qualifications Bachelor's degree BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Japan-Tokyo-To-Tokyo Job: Sales/Marketing Internal Jobcode: 70021 Organization: IM APAC-HR11404 Requisition Number: 1819177"
21,"Senior Specialist, Solutions Consulting","
Locations:
London, United Kingdom
","Pershing EMEA is recruiting a Proposition Manager (Senior Specialist, Solutions Consulting) responsible for ensuring that our products and overall proposition are in line with clients’ needs (existing and prospective). 
 
The Proposition Manager will work closely with the Head of Marketing and Proposition to clearly describe today’s proposition and supported by research and analysis, guide tomorrow’s proposition to support the company’s growth strategy. The Proposition Manager will conduct in-depth analyses on competitive landscape and industry environment. They will determine the needs of clients and gathers feedback in order to create and implement solution to address their issues.
The Proposition Manager will also work with the Head of Marketing and Proposition and the client facing teams to develop and deliver segmentation by grouping clients and prospects by common behaviours (attitudinal segmentation) to drive business development. 
The role also includes supporting the Head of Marketing and Proposition in running the Proposition Forum, to assess the impact of bringing new clients in on our business proposition. 
 
Primary duties:


 Employs a client-focused, strategic approach to drive adoption and utilisation of solutions through new business efforts for clients and prospects (e.g., sales strategy meetings, demonstrations, finalist presentations, etc.) and industry/professional events. Conducts in-depth analyses on competitive landscape and industry environment. Determines the needs of clients and gathers feedback in order to create and implement solution to address their issues. 

 Reviews and assesses consulting problems, leveraging market and client insights and related complex analyses, and develop opportunities for new and enhanced solutions. Identifies opportunities and/or gaps within the existing portfolio of solutions. Adept at identifying and compiling the right set of firm solutions to address specific client needs. 

 Evaluates solutions offered to clients and determines model to measure success of solutions provided.  

 Works closely with Relationship Management, Business Development, Account Management, and Product Development teams to deliver on sales and market share goals. Keeps an eye out for new business opportunities when interacting with clients and communicates these opportunities to the head of marketing, head of sales and head of product.  

 Participates in market activities, liaises with industry and professional groups and networks with clients and prospects. Contributes to the firm's intellectual capital around solutions and consulting approach to share with the market.  Qualifications Requirements:


 Knowledge of wealth management 

 Strong analytical skills   

 Track record of analysing customer needs, behaviour and attitudes - and translating this into a business recommendation 

 Strong leadership skills, in particular the ability to inspire high performance from colleagues 

 A convincing and influential communicator. Bright, quick thinking and self-confident 

 Superior project management and time management skills 

 Bachelor's degree or the equivalent combination of work experience required 

 5-8 years of related experience preferred; experience in the securities or financial services industry is required 
  BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater London-London Job: Sales/Marketing Internal Jobcode: 70245 Organization: Pershing International-HR16947 Requisition Number: 1814760"
