10,"Analyst,Client Processing - Houston","
Locations:
Houston, Texas
","Client Processing - IC1

Performs routine and non-routine client service and transactional support functions. Interacts with other organizational units/teams to ensure timely delivery of service, or resolution of issues.

Processes account related transactions per scheduled events/client authenticated direction. Following established procedures, answers inquiries, and resolves problems or issues.

Manages situations which may require adaptation of response or extensive research according to client response. Escalates more complex situations to senior colleagues.

Integrates area knowledge with understanding of industry standards and practices to provide solutions to internal and external clients.

Performs complex operational tasks in a product or functional area.

May be responsible for allocating and checking work of team members.   May be responsible for specific supervisory review and approval actions.

Contributes to the achievement of team objectives   Qualifications Bachelors degree or the equivalent combination of education and experience is required. 0-3 years of total work experience is preferred. Experience in brokerage processing is preferred. Applicable local/regional licenses or certifications as required by the business. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Texas-Houston Internal Jobcode: 70606 Job: Operations Organization: Issuer and Loan Services-HR11024 Requisition Number: 1901566"
11,"Intermediate Representative, Data Management & Quantitative Analysis","
Locations:
Wroclaw, Poland
"," Team description: Fund of Funds (FOF) is an investment strategy of holding a portfolio of other investment funds rather than investing directly in stocks, bonds or other securities. In Securities Data Management (SDM) we are managing all the activities related to pricing of Fund of Funds in order for the fund accountants to be able to publish Net Asset Valuation (NAV) of a unit of FOF fund. This requires managing daily, weekly and monthly processes using bespoke BNY systems, excel calculations and liaising with Clients and Third Party Administrators.  
As a successful candidate you will be given opportunity to acquire and develop knowledge from related fields. During first months of on-the job training you`ll be assigned to a buddy and be able to: 


 Under minimal supervision, compile, synthesize and report on the Banks or market data sources.  

 Manage moderately complex databases, feeds, etc. and assists with data sources. 

 Conduct preliminary, basic calculations for more senior colleagues and helps develop reports. 

 Generate and provide information to questions from internal and external clients. 
What we offer apart from BNYM packages:  

Extensive training package on financial markets, securities, systems, international vendors
Gaining proficient knowledge around different securities 
Familiarize with corporate culture
Working and learning from professionals  
Multiple behavioral training Qualifications We are looking for candidates who have:   

At least advanced English and Excel proficiency 
Highly motivated
Willing to learn and work within the team
General knowledge around economy, financial markets and securities
Our offer for you: 

Excellent opportunities for training, growth and professional development
Mentoring and job shadowing programs 
A multitude of opportunities to get involved in additional charity projects and engagement groups (mountain trips, football team etc.)
Language training course
Onsite kindergarten
Employee Referral Program
Health Promotion: Wellbeing and Innovation Centre, Wellbeing programs 
What is more:

Full time contract of employment
Competitive salary
Health & Life Insurance
Private medical care
Multisport card / Cinema Tickets / Nursery subsidiary
Pension scheme
Location: Aquarius Building ul. Swobodna 3.
Working hours: 9:00-17:00 BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Poland-Dolnoslaskie-Wroclaw Job: Operations Internal Jobcode: 70129 Organization: Securities Data Mgt-HR07081 Requisition Number: 1900816"
12,"Senior Representative, Client Service (Derivatives)","
Locations:
Manchester, United Kingdom
"," Serves as the technical expert for complex transactions and processes on a daily basis and provides work direction for the team. Independently assists clients by responding to complex phone, email and other inquiries regarding company products, services and procedures. Responds to client questions on BNY Mellon product features and provides technical assistance for the most complex issues that have been escalated by junior team members. Researches and resolves complex operational or client issues. Assists in identifying trends in client issues and proposing solutions. Provides status updates on problem resolution and outstanding issues to other teams. Directs inquiries to the appropriate resources at BNY Mellon. Assists with process improvement by contributing ideas to improve team efficiency. Coordinates implementation of resulting process changes for the team. Provides guidance to less experienced staff. May serves as the team leader for a team of support staff Responsible for the quality and completion of own work. Helps develop and contributes to the achievement of team objectives.   Qualifications  High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. Experience in financial services preferred.  BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater Manchester-Manchester Job: Operations Internal Jobcode: 70108 Organization: Derivatives MO & RBS-HR14453 Requisition Number: 1901011"
13,"Representative, Data Management and Quantitative Analysis","
Locations:
Wroclaw, Poland
"," SDM (Securities Data Management) is a centralized global utility that supports the NAV production process for mutual and hedge fund accounting teams in Europe, India and across several US locations. SDM encompasses five primary functions: 2 pricing teams including pricing on exchange traded assets & fixed income securities and Fund of Fund pricing. We also have a corporate action’s processing team and a security master maintenance team. 
   
 Job Purpose common to all roles:

Successful candidate will act as oversight for global departments: ensure an excellent service standard, maintain a flow of communication, build relationships and continuously manage workflow between onshore and offshore locations.
Display initiative by suggesting improvements to processes and taking ownership of service provided to clients.  Use your qualifications and experience to add value to a global Centre of excellence.
You will require an ability to work within a tight, deadline driven environment.  
Work as part of a project team managing the take-on of new clients.  This will involve working with both the client and various internal departments – Trade Capture, Fund Accounting, Reconciliations etc.
A range of other project/process development/internal & external training initiatives.
   
 Security Master Maintenance Team Description:

Accurately create newly traded financial instruments and maintain existing instruments on the Fund Accounting platform, using the latest security master market vendor information.
Understand the theoretical/technical nature of all listed security types – equities, bonds, derivatives & money market instruments.
   
 What you will experience with us:

Sound technical knowledge of equity, fixed income, derivative and fund of fund products, including vendor and broker pricing, corporate events and security master creation and maintenance. 
Project management skills.
Exposure to major global financial institutions.
A fast paced environment which offers ability to develop and progress within the company. 
 Qualifications We are looking for candidates who have:

At least advanced English proficiency
General knowledge around economy, financial markets and accounting 
Proficiency in using Microsoft packages particularly Excel. Knowledge of Visual Basic and SQL would be beneficial but not essential.
Excellent teamwork, interpersonal, oral and written communication skills.
Excellent analytical, organizational and time management skills.
   
 What we can do for you:

Challenging, fun and supportive environment.
City Centre location.
Opportunity to join site wide network groups.
Full time contract of employment
Competitive salary
Health & Life Insurance
Multisport card / Cinema Tickets / Nursery subsidiary
Pension scheme
Excellent opportunities for training, growth and professional development
Opportunities to engage in diverse projects due to growth of business migrations
A multitude of opportunities to get involved in additional charity projects
Location: Aquarius Building ul. Swobodna 3.
Working hours: Flexibly switching between shifts 8-16, 9-17 and 11-19
    BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Poland-Dolnoslaskie-Wroclaw Job: Operations Internal Jobcode: 70130 Organization: Securities Data Mgt-HR07081 Requisition Number: 1901467"
14,"Group Manager, Middle Office","
Locations:
Manchester, United Kingdom
","Provides oversight for a medium-sized unit consisting of multiple teams of Middle Office staff responsible for conducting accounting services on behalf of a broad array of assigned clients including determining net asset values, calculating fund performance, allocating expenses, preparing reports, delegation and oversight of processing daily trade activity across clients, incident management, and client engagement. Manages the performance of teams and sets function priorities. Manages relationships with broad set of clients and resolves any unique escalated issues related to transactions. Allocates work across teams and is responsible for overseeing HR activities for the unit. Develops and manages processes and provides guidance to teams managed to ensure that records are maintained in accordance with departmental policies and procedures. Uses intermediate communication skills to navigate and resolve moderately complex situations and ensure client needs are being addressed by Middle Office function. Provides consultative support to develop an understanding of the needs and requirements of new clients in order to allocate that client against the various teams and develop service offerings. Recruits, directs, motivates and develops staff, maximizing their individual contribution, their professional growth and their ability to function effectively with their colleagues as a team. Leverages a strong expertise of client needs and requirements to execute and communicate the functional strategy and provide recommendations to develop improved service offerings. Provides guidance to teams on the implementation of new policies to follow regulations. Manages a moderate sized Middle Office unit consisting of multiple teams and client responsibility. Work is primarily accomplished through subordinate managers. Responsible for the achievement of team goals and objectives, talent management and supervision of Middle Office staff. Qualifications  Bachelors degree in finance or the equivalent combination of education and experience is required.   BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater Manchester-Manchester Job: Operations Internal Jobcode: 70542 Organization: MOCSD Service Delivery-HR17225 Requisition Number: 1818809"
15,"Mgr, Client Processing","
Locations:
Chennai, India
","Client Processing - M1 Supervises a small to medium-sized Client Processing support team that handles any/all aspects of client accounts, including solicitation, inquiries, transactional processing and problem resolution. Manages the daily transactional workflow within the team and aligns team resources accordingly to complete the daily tasks. Identifies areas requiring analysis of operations and resolution for more efficient operations Oversees Client Processing to ensure transactions are handled correctly and timely. Utilizes MIS reporting to ensure correct and timely processing. Provides product knowledge and technical assistance on complex problems. Acts as the teams initial point of contact for issues requiring escalation. Participates in the recruiting process. Instructs, assigns, directs and reviews the work of Client Processing analysts. Prepares performance reviews and provides ongoing feedback to staff. Provides input into departmental budgets and planning. May develop business plan for team/group operations. Supervises a small Client Processing team. Contributes to the achievement of team objectives. Bachelors degree or the equivalent combination of education and experience is required. 4-5 years of total work experience is preferred with at least 0-1 years in management. Experience in brokerage processing is preferred. Applicable local/regional licenses or certifications as required by the business. Qualifications 7 to 8 Years of relevant exp BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Tamil Nadu-Chennai Job: Operations Internal Jobcode: 70602 Organization: Pershing India Combine-HR16946 Requisition Number: 1901441"
16,"Representative, Billing","
Locations:
Pittsburgh, Pennsylvania
","Billing - S2 Produces client invoices based on established fee schedules and begins to set up accounts. Produces less standard client invoices. Begins to interpret standard fee schedules and set up accounts using straightforward templates. Recognizes and solves typical problems that can occur in own work area without supervisory approval. Evaluates and selects solutions from established options. Identifies problems and all relevant issues in straightforward situations, assesses each using standard procedures, and makes sound decisions. Develops analytical skills to perform complex billing activities. No direct reports. May provide guidance to less experienced Billing Administrators, as needed. Responsible for the quality and completion of own work. Qualifications  High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 1-2 years of total work experience preferred. Experience in financial services preferred.  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70414 Job: Operations Organization: Derivatives MO & RBS-HR14453 Requisition Number: 1819244"
17,"InterRep,DataMgtQuantAnalysis","
Locations:
Pittsburgh, Pennsylvania
","Data Management and Quantitative Analysis - S3 Under minimal supervision, compiles, synthesizes and reports on the Banks or market data sources. Provides support with access, maintenance and security activities. May manage moderately complex databases, feeds, etc. and assists with data sources. Conducts preliminary, basic calculations for more senior colleagues and helps develop reports. With minimal guidance, supports day-to-day data management activities. Monitors data feeds and performs data scrubbing for the Data Management and Quantitative Analysis team. Identifies and documents violations, exceptions, or occurrences exceeding tolerance thresholds. Adds and maintains data on the Banks systems, inputs and verifies accuracy of information. Reviews information entered by more junior team members. May test software enhancements and upgrades as necessary. Monitors moderately complex databases and spreadsheets. Performs basic calculations, initiates the execution of data modeling programs and prepares initial drafts of simple charts, graphs or reports. Provides information based on data-related questions from internal and external clients and may help provide solutions. Ensures that all customer responses are thoroughly documented and verified. No direct reports. May provide guidance to more junior roles. Contributes to the achievement of team objectives. Qualifications  Bachelors degree or the equivalent combination of education and experience. 2-3 years of total work experience preferred. Experience in the financial industry preferred.  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70129 Job: Operations Organization: Securities Data Mgt-HR07081 Requisition Number: 1901480"
18,"InterRep,DataMgtQuantAnalysis","
Locations:
Pittsburgh, Pennsylvania
","Data Management and Quantitative Analysis - S3 Under minimal supervision, compiles, synthesizes and reports on the Banks or market data sources. Provides support with access, maintenance and security activities. May manage moderately complex databases, feeds, etc. and assists with data sources. Conducts preliminary, basic calculations for more senior colleagues and helps develop reports. With minimal guidance, supports day-to-day data management activities. Monitors data feeds and performs data scrubbing for the Data Management and Quantitative Analysis team. Identifies and documents violations, exceptions, or occurrences exceeding tolerance thresholds. Adds and maintains data on the Banks systems, inputs and verifies accuracy of information. Reviews information entered by more junior team members. May test software enhancements and upgrades as necessary. Monitors moderately complex databases and spreadsheets. Performs basic calculations, initiates the execution of data modeling programs and prepares initial drafts of simple charts, graphs or reports. Provides information based on data-related questions from internal and external clients and may help provide solutions. Ensures that all customer responses are thoroughly documented and verified. No direct reports. May provide guidance to more junior roles. Contributes to the achievement of team objectives. Qualifications  Bachelors degree or the equivalent combination of education and experience. 2-3 years of total work experience preferred. Experience in the financial industry preferred.  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70129 Job: Operations Organization: Securities Data Mgt-HR07081 Requisition Number: 1901447"
19,"Sr. Technician, Client Service","
Locations:
King of Prussia, Pennsylvania
","Client Service - S1 Provides quality support to clients with routine transactions and processes on a daily basis. Under direct supervision, assists clients by responding to phone, email and other inquiries regarding company products, services and procedures. Provides basic technical assistance to clients and assists in responding to straightforward client inquiries. Corrects straightforward errors in client accounts and statements. Routes issues that cannot be addressed at point of contact to appropriate team, in accordance with documented procedures. Reviews daily open items to ensure proper follow-up and closure. No direct reports. Responsible for the quality and completion of own work. Qualifications High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 0-1 years of total work experience preferred. Experience in financial services preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-King of Prussia Internal Jobcode: 70111 Job: Operations Organization: Global Pymnts & Treas Serv Ops-HR06382 Requisition Number: 1901505"
20,"Sr. Technician, Client Service","
Locations:
King of Prussia, Pennsylvania
","Client Service - S1 Provides quality support to clients with routine transactions and processes on a daily basis. Under direct supervision, assists clients by responding to phone, email and other inquiries regarding company products, services and procedures. Provides basic technical assistance to clients and assists in responding to straightforward client inquiries. Corrects straightforward errors in client accounts and statements. Routes issues that cannot be addressed at point of contact to appropriate team, in accordance with documented procedures. Reviews daily open items to ensure proper follow-up and closure. No direct reports. Responsible for the quality and completion of own work. . Qualifications  High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 0-1 years of total work experience preferred. Experience in financial services preferred..  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-King of Prussia Internal Jobcode: 70111 Job: Operations Organization: Global Pymnts & Treas Serv Ops-HR06382 Requisition Number: 1901507"
